a,x_digits,x,n_bits,mean_ms,min_ms,max_ms,y_preview
7,4,2011,1024,0.010550,0.006375,0.015667,80773733305122482867334661597659
7,4,2011,2048,0.012442,0.011333,0.016667,30312853514476064591523544781208
7,18,100000000000001053,1024,0.094633,0.079416,0.135167,77272234465018256791516398368257
7,18,100000000000001053,2048,0.247008,0.240333,0.257625,63401606307094631160452223033373
7,32,10000000000000000000000000001053,1024,0.151667,0.148292,0.154250,51542340456517919883065764611168
7,32,10000000000000000000000000001053,2048,0.463883,0.450167,0.511750,51031827442993409201637296874954
7,46,1000000000000000000000000000000000000000001099,1024,0.226900,0.225917,0.229125,88223437777776652072789982809510
7,46,1000000000000000000000000000000000000000001099,2048,0.708575,0.693042,0.750167,47726580662363381283715022169669
7,60,100000000000000000000000000000000000000000000000000000001009,1024,0.319883,0.302542,0.357792,90865312314690061898904158044860
7,60,100000000000000000000000000000000000000000000000000000001009,2048,0.939175,0.900917,1.037292,29484861885328426929017142814754
7,74,10000000000000000000000000000000000000000000000000000000000000000000001083,1024,0.396125,0.384875,0.406791,32217062382428592791121064856125
7,74,10000000000000000000000000000000000000000000000000000000000000000000001083,2048,1.232042,1.175916,1.337750,15045040179849720361679336809753
7,88,1000000000000000000000000000000000000000000000000000000000000000000000000000000000001207,1024,0.455392,0.448667,0.460958,94141955617399852489280669049385
7,88,1000000000000000000000000000000000000000000000000000000000000000000000000000000000001207,2048,1.486583,1.386917,1.721417,28814415432558900472219043664157
7,101,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001243,1024,0.543525,0.504500,0.593750,76774826253341185712702610781785
7,101,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001243,2048,1.559617,1.537084,1.594000,29800119444527141870398510631465
31,4,2011,1024,0.008367,0.007959,0.009416,82199234791408249751603336579756
31,4,2011,2048,0.017383,0.017292,0.017583,57209541620083359527421871010466
31,18,100000000000001053,1024,0.084208,0.083791,0.085167,54326051514542249770815725027396
31,18,100000000000001053,2048,0.275358,0.254333,0.314167,20572372303593052387158031556465
31,32,10000000000000000000000000001053,1024,0.154050,0.150375,0.158833,16276443179341796102173767763483
31,32,10000000000000000000000000001053,2048,0.470983,0.452916,0.523000,29703865292340734816636392273273
31,46,1000000000000000000000000000000000000000001099,1024,0.229208,0.227541,0.231625,11484350472431558574096408671596
31,46,1000000000000000000000000000000000000000001099,2048,0.710042,0.691667,0.746625,61215567551724012372953187522803
31,60,100000000000000000000000000000000000000000000000000000001009,1024,0.315916,0.307791,0.339791,15251021818280483551788461510206
31,60,100000000000000000000000000000000000000000000000000000001009,2048,0.919092,0.900875,0.936500,25461901887563867445943791330659
31,74,10000000000000000000000000000000000000000000000000000000000000000000001083,1024,0.393592,0.373250,0.445459,90186374901358821342741809727430
31,74,10000000000000000000000000000000000000000000000000000000000000000000001083,2048,1.146567,1.127250,1.177250,11801347592256711028019902866388
31,88,1000000000000000000000000000000000000000000000000000000000000000000000000000000000001207,1024,0.440375,0.432625,0.459042,37654383122826366571589590615802
31,88,1000000000000000000000000000000000000000000000000000000000000000000000000000000000001207,2048,1.333650,1.310875,1.383541,12496459915429053361485071592139
31,101,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001243,1024,0.524233,0.501959,0.555375,90168000882586155984577328603523
31,101,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001243,2048,1.550450,1.538084,1.568875,19560543719222777389107145808485
