# Таблица времени вычисления y = a^x mod n

|   a | digits(x) | n bits |  mean ms |   min ms |   max ms |
| --: | --------: | -----: | -------: | -------: | -------: |
|   7 |         4 |   1024 | 0.010550 | 0.006375 | 0.015667 |
|   7 |         4 |   2048 | 0.012442 | 0.011333 | 0.016667 |
|   7 |        18 |   1024 | 0.094633 | 0.079416 | 0.135167 |
|   7 |        18 |   2048 | 0.247008 | 0.240333 | 0.257625 |
|   7 |        32 |   1024 | 0.151667 | 0.148292 | 0.154250 |
|   7 |        32 |   2048 | 0.463883 | 0.450167 | 0.511750 |
|   7 |        46 |   1024 | 0.226900 | 0.225917 | 0.229125 |
|   7 |        46 |   2048 | 0.708575 | 0.693042 | 0.750167 |
|   7 |        60 |   1024 | 0.319883 | 0.302542 | 0.357792 |
|   7 |        60 |   2048 | 0.939175 | 0.900917 | 1.037292 |
|   7 |        74 |   1024 | 0.396125 | 0.384875 | 0.406791 |
|   7 |        74 |   2048 | 1.232042 | 1.175916 | 1.337750 |
|   7 |        88 |   1024 | 0.455392 | 0.448667 | 0.460958 |
|   7 |        88 |   2048 | 1.486583 | 1.386917 | 1.721417 |
|   7 |       101 |   1024 | 0.543525 | 0.504500 | 0.593750 |
|   7 |       101 |   2048 | 1.559617 | 1.537084 | 1.594000 |
|  31 |         4 |   1024 | 0.008367 | 0.007959 | 0.009416 |
|  31 |         4 |   2048 | 0.017383 | 0.017292 | 0.017583 |
|  31 |        18 |   1024 | 0.084208 | 0.083791 | 0.085167 |
|  31 |        18 |   2048 | 0.275358 | 0.254333 | 0.314167 |
|  31 |        32 |   1024 | 0.154050 | 0.150375 | 0.158833 |
|  31 |        32 |   2048 | 0.470983 | 0.452916 | 0.523000 |
|  31 |        46 |   1024 | 0.229208 | 0.227541 | 0.231625 |
|  31 |        46 |   2048 | 0.710042 | 0.691667 | 0.746625 |
|  31 |        60 |   1024 | 0.315916 | 0.307791 | 0.339791 |
|  31 |        60 |   2048 | 0.919092 | 0.900875 | 0.936500 |
|  31 |        74 |   1024 | 0.393592 | 0.373250 | 0.445459 |
|  31 |        74 |   2048 | 1.146567 | 1.127250 | 1.177250 |
|  31 |        88 |   1024 | 0.440375 | 0.432625 | 0.459042 |
|  31 |        88 |   2048 | 1.333650 | 1.310875 | 1.383541 |
|  31 |       101 |   1024 | 0.524233 | 0.501959 | 0.555375 |
|  31 |       101 |   2048 | 1.550450 | 1.538084 | 1.568875 |
